A_AGE,PTOTVAL,SS_VAL,PEMLR,RESNSS1,RSNNOTW,SS_YN,FILESTAT,class
16,0,0,7,0,4,2,5,0
25,18,0,7,0,6,2,5,0
9,0,0,0,0,0,0,5,0
35,42728,30426,1,7,0,1,4,0
30,52000,0,1,0,0,2,4,0
78,39000,0,1,0,0,2,4,0
16,15002,0,1,0,0,2,4,0
25,23000,0,3,0,0,2,4,0
50,0,0,4,0,5,2,5,0
57,18000,0,1,0,0,2,0,0
64,0,0,5,0,2,2,5,0
23,21250,0,1,0,0,2,4,0
35,0,0,7,0,3,2,0,0
34,31800,0,1,0,0,2,3,0
43,50000,0,1,0,0,2,0,0
1,0,0,0,0,0,0,5,0
25,8500,0,1,0,0,2,4,0
28,5000,0,1,0,0,2,4,0
23,0,0,7,0,4,2,5,0
39,0,0,7,0,3,2,0,0
65,33057,16008,5,1,2,1,4,1
68,8898,8826,5,1,2,1,2,1
31,17000,0,1,0,0,2,0,1
54,59000,0,1,0,0,2,0,1
67,48929,27096,5,1,2,1,2,1
11,0,0,0,0,0,0,5,1
8,0,0,0,0,0,0,5,1
15,0,0,7,0,4,2,5,1
71,59629,31224,5,1,2,1,2,1
85,117000,45000,5,1,2,1,4,1
2,0,0,0,0,0,0,5,1
62,16200,16200,6,2,1,1,5,1
39,25000,0,1,0,0,2,3,1
79,208940,8500,1,1,0,1,2,1
49,20001,0,1,0,0,2,0,1
11,0,0,0,0,0,0,5,1
16,0,0,7,0,4,2,5,1
65,5977,5976,5,1,2,1,5,1
66,41226,41226,5,1,2,1,2,1
14,0,0,0,0,0,0,5,1
58,0,0,5,0,2,2,0,2
30,94505,0,1,0,0,2,4,2
65,20789,10511,1,1,0,1,2,2
42,53005,0,1,0,0,2,4,2
34,25000,0,1,0,0,2,4,2
62,29353,0,1,0,0,2,4,2
63,85963,21000,5,1,2,1,0,2
11,0,0,0,0,0,0,5,2
70,2269,2268,5,1,2,1,5,2
75,31002,8592,5,1,2,1,2,2
57,0,0,5,0,3,2,5,2
53,0,0,7,0,3,2,5,2
11,0,0,0,0,0,0,5,2
29,30000,0,1,0,0,2,0,2
63,24000,0,5,0,0,2,0,2
15,0,0,7,0,4,2,5,2
68,70051,5820,5,1,2,1,2,2
30,12100,0,1,0,0,2,4,2
69,106010,0,1,0,0,2,2,2
36,124630,0,1,0,0,2,0,2
15,0,0,7,0,4,2,5,3
7,0,0,0,0,0,0,5,3
18,87000,0,4,0,0,2,4,3
53,65840,0,1,0,0,2,0,3
41,36817,0,1,0,0,2,0,3
7,0,0,0,0,0,0,5,3
58,54400,0,1,0,0,2,4,3
16,2900,0,1,0,0,2,4,3
43,160001,0,2,0,0,2,0,3
51,61015,0,4,0,0,2,0,3
36,88719,0,1,0,0,2,0,3
43,52650,0,1,0,0,2,0,3
32,26658,0,2,0,0,2,0,3
51,31733,0,1,0,0,2,0,3
40,72400,0,1,0,0,2,3,3
56,0,0,5,0,2,2,5,3
13,0,0,0,0,0,0,5,3
15,0,0,7,0,4,2,5,3
10,0,0,0,0,0,0,5,3
28,75215,0,1,0,0,2,4,3
68,127437,0,5,0,2,2,1,4
34,19700,0,1,0,0,2,3,4
80,19200,19200,5,3,2,1,5,4
85,3574,2172,5,4,2,1,2,4
80,31780,0,5,0,2,2,4,4
66,41192,0,1,0,0,2,2,4
71,60233,23232,5,1,2,1,1,4
65,100103,0,1,0,0,2,2,4
47,14015,0,1,0,0,2,0,4
76,33556,22170,5,1,2,1,4,4
54,140500,0,1,0,0,2,0,4
67,15768,15768,5,1,2,1,2,4
44,38542,0,1,0,0,2,3,4
66,79613,0,2,0,0,2,2,4
74,68172,21300,1,1,0,1,1,4
70,54960,27240,5,1,0,1,1,4
68,62510,15000,1,3,0,1,4,4
74,367075,29280,7,3,0,1,4,4
70,116802,33952,5,1,2,1,4,4
17,0,0,1,0,4,2,5,4
